mode,epsilon,trial,kappa,P_sink_T_end,P_sink_D_end,Selectivity_end,coverage_end
extended,0.0,6,10.0,0.0004799135587435523,0.00022881574371884643,2.097379965409453,0.0007087293024623987
extended,0.0,7,0.001,0.013186862210208873,0.011219409804152796,1.175361488636637,0.02440627201436167
extended,0.0,7,0.003,0.01317302298685586,0.011194351073397784,1.1767562853181752,0.024367374060253646
extended,0.0,7,0.01,0.013124248354627794,0.01110735572661987,1.181581708236161,0.024231604081247665
extended,0.0,7,0.03,0.012982355983484383,0.010864755321559784,1.1949055085048783,0.023847111305044168
extended,0.0,7,0.1,0.01246764645055659,0.010080355998683205,1.2368260060407004,0.022548002449239796
extended,0.0,7,0.3,0.011013844595614213,0.00828899444709152,1.3287310860909154,0.01930283904270573
extended,0.0,7,1.0,0.007356601959113651,0.0048400659623756516,1.5199383675306086,0.012196667921489303
extended,0.0,7,3.0,0.003012674345883303,0.0016739758582320228,1.7997119428385546,0.004686650204115326
extended,0.0,7,10.0,0.0004799135587435523,0.00022881574371884643,2.097379965409453,0.0007087293024623987
extended,0.0,8,0.001,0.013186862210208873,0.011219409804152796,1.175361488636637,0.02440627201436167
extended,0.0,8,0.003,0.01317302298685586,0.011194351073397784,1.1767562853181752,0.024367374060253646
extended,0.0,8,0.01,0.013124248354627794,0.01110735572661987,1.181581708236161,0.024231604081247665
extended,0.0,8,0.03,0.012982355983484383,0.010864755321559784,1.1949055085048783,0.023847111305044168
extended,0.0,8,0.1,0.01246764645055659,0.010080355998683205,1.2368260060407004,0.022548002449239796
extended,0.0,8,0.3,0.011013844595614213,0.00828899444709152,1.3287310860909154,0.01930283904270573
extended,0.0,8,1.0,0.007356601959113651,0.0048400659623756516,1.5199383675306086,0.012196667921489303
extended,0.0,8,3.0,0.003012674345883303,0.0016739758582320228,1.7997119428385546,0.004686650204115326
extended,0.0,8,10.0,0.0004799135587435523,0.00022881574371884643,2.097379965409453,0.0007087293024623987
extended,0.0,9,0.001,0.013186862210208873,0.011219409804152796,1.175361488636637,0.02440627201436167
extended,0.0,9,0.003,0.01317302298685586,0.011194351073397784,1.1767562853181752,0.024367374060253646
extended,0.0,9,0.01,0.013124248354627794,0.01110735572661987,1.181581708236161,0.024231604081247665
extended,0.0,9,0.03,0.012982355983484383,0.010864755321559784,1.1949055085048783,0.023847111305044168
extended,0.0,9,0.1,0.01246764645055659,0.010080355998683205,1.2368260060407004,0.022548002449239796
extended,0.0,9,0.3,0.011013844595614213,0.00828899444709152,1.3287310860909154,0.01930283904270573
extended,0.0,9,1.0,0.007356601959113651,0.0048400659623756516,1.5199383675306086,0.012196667921489303
extended,0.0,9,3.0,0.003012674345883303,0.0016739758582320228,1.7997119428385546,0.004686650204115326
extended,0.0,9,10.0,0.0004799135587435523,0.00022881574371884643,2.097379965409453,0.0007087293024623987
extended,1.0,0,0.001,0.007060433785665453,0.003998510530977363,1.7657659593993598,0.011058944316642817
extended,1.0,0,0.003,0.007060380295411081,0.004000545299855863,1.7648544796882082,0.011060925595266943
extended,1.0,0,0.01,0.007060306405343423,0.004007570804121541,1.761742149713384,0.011067877209464963
extended,1.0,0,0.03,0.007060776953396343,0.004026703352157529,1.7534882344535392,0.011087480305553872
extended,1.0,0,0.1,0.007061706669355453,0.004079553535194235,1.7309998769971362,0.011141260204549688
extended,1.0,0,0.3,0.006960908440148074,0.004090638663855339,1.7016678837836776,0.011051547104003414
extended,1.0,0,1.0,0.005701706513757809,0.0033101612889808456,1.7224860102786115,0.009011867802738655
extended,1.0,0,3.0,0.0027150406546310557,0.001437782599904754,1.888352698747753,0.00415282325453581
extended,1.0,0,10.0,0.0004711715141679524,0.0002228963204565211,2.1138595338365005,0.0006940678346244735
extended,1.0,1,0.001,0.008114074353611027,0.00800037275683249,1.0142120372662913,0.016114447110443516
