mode,epsilon,trial,model,T_env,P_sink_T_end,P_sink_D_end,Selectivity_end,coverage_end
extended,1.0,2,CRW,,0.23742329853362096,0.2703079099584457,0.8783438803890037,0.5077312084920667
extended,1.0,2,CRW_thermal,0.1,0.031051296778754837,0.1262766395568977,0.24589897931610583,0.15732793633565254
extended,1.0,2,CRW_thermal,1.0,0.179744525510261,0.215833373940135,0.832793011702089,0.395577899450396
extended,1.0,3,CRW,,0.23742329853362096,0.2703079099584457,0.8783438803890037,0.5077312084920667
extended,1.0,3,CRW_thermal,0.1,0.04940283493162825,0.09366479027099334,0.5274429675032344,0.1430676252026216
extended,1.0,3,CRW_thermal,1.0,0.1959951022768243,0.2238132823161374,0.87570809135047,0.41980838459296166
extended,1.0,4,CRW,,0.23742329853362096,0.2703079099584457,0.8783438803890037,0.5077312084920667
extended,1.0,4,CRW_thermal,0.1,0.1494616441356817,0.10707198470627724,1.395898698845389,0.25653362884195896
extended,1.0,4,CRW_thermal,1.0,0.20838232198195647,0.24402507366799134,0.8539381582755606,0.4524073956499478
extended,1.0,5,CRW,,0.23742329853362096,0.2703079099584457,0.8783438803890037,0.5077312084920667
extended,1.0,5,CRW_thermal,0.1,0.11249659748163963,0.15647232017519985,0.7189552590193576,0.2689689176568395
extended,1.0,5,CRW_thermal,1.0,0.22229027442653862,0.23152742405931495,0.9601034319313725,0.45381769848585357
extended,1.0,6,CRW,,0.23742329853362096,0.2703079099584457,0.8783438803890037,0.5077312084920667
extended,1.0,6,CRW_thermal,0.1,0.07137296159874358,0.2059029557391859,0.3466339827039879,0.2772759173379295
extended,1.0,6,CRW_thermal,1.0,0.20349969864600864,0.23876638528581412,0.8522962660826734,0.44226608393182276
extended,1.0,7,CRW,,0.23742329853362096,0.2703079099584457,0.8783438803890037,0.5077312084920667
extended,1.0,7,CRW_thermal,0.1,0.17232310973199969,0.1562129518813925,1.1031294630533324,0.3285360616133922
extended,1.0,7,CRW_thermal,1.0,0.245977469247192,0.22418691542800084,1.0971981517141314,0.47016438467519284
extended,1.0,8,CRW,,0.23742329853362096,0.2703079099584457,0.8783438803890037,0.5077312084920667
extended,1.0,8,CRW_thermal,0.1,0.22593560447417127,0.1292091728248991,1.7486034430280324,0.35514477729907035
extended,1.0,8,CRW_thermal,1.0,0.2592679744108752,0.22848173365933447,1.13474267836355,0.4877497080702097
