time,P_success_CRW,P_success_CRN_kappa_0,P_success_CRN_kappa_1,P_success_CRN_kappa_10
4.561403508771929793e+00,9.602158718025465001e-02,1.327847349179523961e-01,1.674966905073722589e-01,2.379765005381107024e-02
4.611528822055137589e+00,9.771746115292404000e-02,1.329046879832732619e-01,1.699671906949401512e-01,2.446889751141312352e-02
4.661654135338345384e+00,9.941522979133977922e-02,1.329743210098401907e-01,1.724406790489388941e-01,2.514621628820690180e-02
4.711779448621554067e+00,1.011147320956305856e-01,1.330136192559757680e-01,1.749168708028688846e-01,2.582945986779205949e-02
4.761904761904761862e+00,1.028158121920892260e-01,1.330366219458207766e-01,1.773950552143749304e-01,2.651848445075621896e-02
4.812030075187969658e+00,1.045183191561848829e-01,1.330524355828544003e-01,1.798741738264710843e-01,2.721314896677196060e-02
4.862155388471177453e+00,1.062221068431907639e-01,1.330671640265558286e-01,1.823529257803118142e-01,2.791331507990923999e-02
4.912280701754385248e+00,1.079270337260083423e-01,1.330863154827410799e-01,1.848298856341564766e-01,2.861884718778873182e-02
4.962406015037593932e+00,1.096329627397949064e-01,1.331171929262714437e-01,1.873036195060714393e-01,2.932961241512721529e-02
5.012531328320801727e+00,1.113397611330283615e-01,1.331708031154835714e-01,1.897727874684862481e-01,3.004548060222078654e-02
5.062656641604009522e+00,1.130473003246630637e-01,1.332629216041208986e-01,1.922362234702761352e-01,3.076632428885806014e-02
5.112781954887218205e+00,1.147554557670546760e-01,1.334141069813603586e-01,1.946929880279635316e-01,3.149201869412165955e-02
5.162907268170426001e+00,1.164641068143512787e-01,1.336486393852277521e-01,1.971423928893896171e-01,3.222244169252064250e-02
5.213032581453633796e+00,1.181731365960684149e-01,1.339925358487774609e-01,1.995840002957801618e-01,3.295747378683822060e-02
5.263157894736841591e+00,1.198824318955812318e-01,1.344709403166864936e-01,2.020176019706265702e-01,3.369699807807502445e-02
5.313283208020049386e+00,1.215918830332865658e-01,1.351052780324691893e-01,2.044431843536205218e-01,3.444090023282919688e-02
5.363408521303258070e+00,1.233013837541999946e-01,1.359105910591286159e-01,2.068608868719108429e-01,3.518906844843061599e-02
5.413533834586465865e+00,1.250108311197706268e-01,1.368934336136768959e-01,2.092709593575520222e-01,3.594139341612279104e-02
5.463659147869673660e+00,1.267201254037080838e-01,1.380506127027770757e-01,2.116737233504150106e-01,3.669776828256099410e-02
5.513784461152882344e+00,1.284291699916280671e-01,1.393689293174040778e-01,2.140695402954719828e-01,3.745808860987942523e-02
5.563909774436090139e+00,1.301378712843372087e-01,1.408259307777970371e-01,2.164587878737471716e-01,3.822225233455245341e-02
5.614035087719297934e+00,1.318461386045868544e-01,1.423915488199670731e-01,2.188418441666302172e-01,3.899015972526143070e-02
5.664160401002505729e+00,1.335538841071350902e-01,1.440303904896198528e-01,2.212190782282315027e-01,3.976171333996392221e-02
5.714285714285713524e+00,1.352610226919679914e-01,1.457043834236536606e-01,2.235908450164070249e-01,4.053681798233277345e-02
5.764411027568922208e+00,1.369674719205388469e-01,1.473754593269382962e-01,2.259574825022155897e-01,4.131538065773132651e-02
5.814536340852130003e+00,1.386731519348913810e-01,1.490079870089614511e-01,2.283193090567400274e-01,4.209731052887344394e-02
5.864661654135337798e+00,1.403779853795420751e-01,1.505707300103586999e-01,2.306766197722129874e-01,4.288251887129546081e-02
5.914786967418546482e+00,1.420818973260027651e-01,1.520381898415924526e-01,2.330296810622165538e-01,4.367091902876085729e-02
5.964912280701754277e+00,1.437848151998340485e-01,1.533912886571184853e-01,2.353787235640549813e-01,4.446242636871600151e-02
6.015037593984962072e+00,1.454866687101200318e-01,1.546174303608049971e-01,2.377239339260264206e-01,4.525695823788256078e-02
6.065162907268169867e+00,1.471873897812698839e-01,1.557100456171240932e-01,2.400654464356219986e-01,4.605443391808283771e-02
6.115288220551377663e+00,1.488869124870465244e-01,1.566677677328059959e-01,2.424033356074964951e-01,4.685477458237774506e-02
6.165413533834586346e+00,1.505851729867394573e-01,1.574934016855730201e-01,2.447376108158877406e-01,4.765790325157803764e-02
6.215538847117794141e+00,1.522821094633909633e-01,1.581928409529498314e-01,2.470682138649844539e-01,4.846374475121140168e-02
6.265664160401001936e+00,1.539776620640004312e-01,1.587740624788751553e-01,2.493950200959520469e-01,4.927222566897859757e-02
6.315789473684210620e+00,1.556717728416284474e-01,1.592462965462009272e-01,2.517178432854222381e-01,5.008327431276227149e-02
6.365914786967418415e+00,1.573643856993303114e-01,1.596194323722812669e-01,2.540364442437166304e-01,5.089682066922429637e-02
6.416040100250626210e+00,1.590554463358465620e-01,1.599036868937246947e-01,2.563505427054727503e-01,5.171279636303538485e-02
6.466165413533834005e+00,1.607449021929922839e-01,1.601095358999425899e-01,2.586598318405566310e-01,5.253113461676051088e-02
6.516290726817041801e+00,1.624327024046756662e-01,1.602478834446521283e-01,2.609639945081873025e-01,5.335177021143078235e-02
