generation,p_transport,modular_cost,mass_modular,mass_global,top1_strategy,top1_mass,top2_strategy,top2_mass,top3_strategy,top3_mass
34,0.5,0.05,0.9985912693382915,0.001408730661708578,"M(0.5,0.01)",0.8549785852985583,"M(0.5,0.05)",0.1246525121603856,"M(1,0.01)",0.0039678185920792005
35,0.5,0.05,0.9985916252832456,0.001408374716753721,"M(0.5,0.01)",0.8617282106036444,"M(0.5,0.05)",0.11877437760578935,"M(1,0.01)",0.0035034503225987927
36,0.5,0.05,0.9985919522393661,0.0014080477606334733,"M(0.5,0.01)",0.8681142844708458,"M(0.5,0.05)",0.11312451532265515,"M(1,0.01)",0.0031049977901736157
37,0.5,0.05,0.9985922534776833,0.001407746522316976,"M(0.5,0.01)",0.8741596958299853,"M(0.5,0.05)",0.10770103357773361,"M(1,0.01)",0.0027633238637798773
38,0.5,0.05,0.9985925318077301,0.0014074681922697286,"M(0.5,0.01)",0.879885281301981,"M(0.5,0.05)",0.10250086305074034,"M(1,0.01)",0.002470505855872192
39,0.5,0.05,0.9985927896479354,0.0014072103520651642,"M(0.5,0.01)",0.885310075321351,"M(0.5,0.05)",0.09751999289953459,"M(1,0.01)",0.0022196864547513176
40,0.5,0.05,0.9985930290853444,0.001406970914655452,"M(0.5,0.01)",0.890451528826792,"M(0.5,0.05)",0.09275366839989818,"M(1,0.01)",0.002004939864728218
41,0.5,0.05,0.9985932519262178,0.0014067480737822535,"M(0.5,0.01)",0.8953256994519092,"M(0.5,0.05)",0.08819655625086092,"M(1,0.01)",0.0018211524531634488
42,0.5,0.05,0.9985934597388025,0.0014065402611972237,"M(0.5,0.01)",0.8999474162255812,"M(0.5,0.05)",0.08384288271024058,"M(1,0.01)",0.0016639169517267615
43,0.5,0.05,0.998593653889465,0.0014063461105345873,"M(0.5,0.01)",0.9043304217228738,"M(0.5,0.05)",0.07968654891659076,"M(1,0.01)",0.0015294391270902978
44,0.5,0.05,0.9985938355731656,0.0014061644268339752,"M(0.5,0.01)",0.9084874944472571,"M(0.5,0.05)",0.0757212270577223,"M(1,0.01)",0.0014144557870157614
