trial,T_env,recall,leakage,selectivity,t_end,p_in,p_out,epsilon,N,seed
20,1.0,0.23089194618614428,0.7245824155760658,0.31865518845441193,100.0,0.3,0.02,3.0,150,1
20,inf,0.26666666666666605,0.6666666666666651,0.4,100.0,0.3,0.02,3.0,150,1
21,0.1,0.6579238650461787,0.34186011902789804,1.92454114541652,100.0,0.3,0.02,3.0,150,1
21,1.0,0.2215593804545528,0.7402530414855348,0.29930222239942295,100.0,0.3,0.02,3.0,150,1
21,inf,0.26666666666666716,0.6666666666666681,0.3999999999999999,100.0,0.3,0.02,3.0,150,1
22,0.1,0.43745365109177,0.5442954943955848,0.8037061772439292,100.0,0.3,0.02,3.0,150,1
22,1.0,0.31080662889083754,0.64123959677853,0.48469656342539197,100.0,0.3,0.02,3.0,150,1
22,inf,0.26666666666666183,0.6666666666666546,0.39999999999999997,100.0,0.3,0.02,3.0,150,1
23,0.1,0.8601590799294999,0.13844218914146164,6.213128275879693,100.0,0.3,0.02,3.0,150,1
23,1.0,0.3107516831904916,0.6125034486237636,0.5073468302729084,100.0,0.3,0.02,3.0,150,1
23,inf,0.2666666666666654,0.6666666666666634,0.4,100.0,0.3,0.02,3.0,150,1
24,0.1,0.1605510056542986,0.5446779431352057,0.29476318561782655,100.0,0.3,0.02,3.0,150,1
24,1.0,0.2731231849677169,0.6559963591753337,0.4163486292988967,100.0,0.3,0.02,3.0,150,1
24,inf,0.26666666666666883,0.6666666666666721,0.4,100.0,0.3,0.02,3.0,150,1
25,0.1,0.11655826478335116,0.8813333996517191,0.13225218155741297,100.0,0.3,0.02,3.0,150,1
25,1.0,0.22695517289904316,0.7239699359298292,0.3134870132522199,100.0,0.3,0.02,3.0,150,1
25,inf,0.26666666666667116,0.6666666666666781,0.3999999999999999,100.0,0.3,0.02,3.0,150,1
26,0.1,0.5835087922917815,0.4164831680869856,1.4010381139098314,100.0,0.3,0.02,3.0,150,1
26,1.0,0.3434892681762881,0.6245662370331986,0.5499645158661212,100.0,0.3,0.02,3.0,150,1
26,inf,0.26666666666666705,0.6666666666666679,0.39999999999999986,100.0,0.3,0.02,3.0,150,1
27,0.1,0.5211732928247806,0.29605929078857623,1.7603679703366049,100.0,0.3,0.02,3.0,150,1
27,1.0,0.19956440543837528,0.7390009379058256,0.27004621401956425,100.0,0.3,0.02,3.0,150,1
27,inf,0.26666666666665917,0.6666666666666479,0.4,100.0,0.3,0.02,3.0,150,1
28,0.1,0.03609858344797917,0.7648215861537387,0.047198698495838354,100.0,0.3,0.02,3.0,150,1
28,1.0,0.184499960183368,0.7517183482726951,0.24543761717046497,100.0,0.3,0.02,3.0,150,1
28,inf,0.26666666666666555,0.6666666666666639,0.4,100.0,0.3,0.02,3.0,150,1
29,0.1,0.4422527816491326,0.5574773824361571,0.7933107164213606,100.0,0.3,0.02,3.0,150,1
29,1.0,0.27126638860015906,0.702958521425498,0.3858924535832785,100.0,0.3,0.02,3.0,150,1
29,inf,0.266666666666669,0.6666666666666724,0.4,100.0,0.3,0.02,3.0,150,1
30,0.1,0.7174481631629075,0.2540818881984985,2.8236887259056007,100.0,0.3,0.02,3.0,150,1
30,1.0,0.3140659724414458,0.5792266560221876,0.5422160205786788,100.0,0.3,0.02,3.0,150,1
30,inf,0.26666666666666516,0.6666666666666626,0.4000000000000002,100.0,0.3,0.02,3.0,150,1
31,0.1,0.4918528006468176,0.11459012071954786,4.292279278163922,100.0,0.3,0.02,3.0,150,1
31,1.0,0.186087460230717,0.7032038454773573,0.26462804694191466,100.0,0.3,0.02,3.0,150,1
31,inf,0.2666666666666614,0.6666666666666532,0.4000000000000002,100.0,0.3,0.02,3.0,150,1
32,0.1,0.8073434115298825,0.1781766192723853,4.531141149870322,100.0,0.3,0.02,3.0,150,1
32,1.0,0.3481115993364359,0.5870798510623907,0.5929544315078887,100.0,0.3,0.02,3.0,150,1
32,inf,0.26666666666665845,0.6666666666666461,0.4,100.0,0.3,0.02,3.0,150,1
33,0.1,0.1886433012698728,0.5348126310006435,0.3527278346379329,100.0,0.3,0.02,3.0,150,1
