trial,epsilon,T_env,recall,leakage,selectivity,N,cluster_sizes,p_in,p_out,eps_values,t_end,n_trials,seed,bootstrap_B
4,1.0,0.1,0.3383552048731484,0.5808018987519183,0.582565596979345,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
4,2.0,0.1,0.43966146400604783,0.5181171204630232,0.8485754410376127,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
4,3.0,0.1,0.5773273479703231,0.3988953557284696,1.447315291289862,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
4,4.0,0.1,0.6077221128647279,0.3810796604586371,1.5947377305136725,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
4,5.0,0.1,0.6016932745315423,0.39331203171246326,1.5298115135501864,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
4,8.0,0.1,0.5790802735222319,0.42052050066149893,1.3770559880227262,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
5,0.0,0.1,0.26666666666666505,0.6666666666666624,0.40000000000000013,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
5,0.5,0.1,0.24770026157885186,0.7061107919153793,0.35079517890803796,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
5,1.0,0.1,0.28828798534830785,0.6762367452080744,0.4263122159379304,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
5,2.0,0.1,0.49773581241236364,0.4877719571051529,1.0204272819748486,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
5,3.0,0.1,0.6412929988347871,0.3528880017226534,1.8172706232693083,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
5,4.0,0.1,0.7169872394989475,0.28066127404390173,2.5546354478060076,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
5,5.0,0.1,0.7449326272914656,0.2541110699228006,2.931523713302917,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
5,8.0,0.1,0.7592365081331801,0.24069856850404728,3.1543042106642765,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
6,0.0,0.1,0.26666666666666056,0.6666666666666513,0.4000000000000001,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
6,0.5,0.1,0.252399589866,0.7429618424512038,0.33972079781819625,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
6,1.0,0.1,0.1795362811822041,0.8202663734662017,0.21887558357846268,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
6,2.0,0.1,0.11698693015880444,0.8830127091496407,0.13248612273255417,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
6,3.0,0.1,0.19025652632468879,0.8097434729754157,0.2349590119270589,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
6,4.0,0.1,0.26427058753299865,0.735729412465714,0.35919535505224076,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
6,5.0,0.1,0.2835934070722033,0.7164065929278103,0.39585538417955346,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
6,8.0,0.1,0.3082033303486821,0.6917966696513528,0.44551143980500574,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
7,0.0,0.1,0.2666666666666615,0.6666666666666536,0.4000000000000001,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
7,0.5,0.1,0.2794369734267592,0.6503281341234658,0.42968612115081534,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
7,1.0,0.1,0.20118291896788137,0.7597935583638796,0.26478629195159753,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
7,2.0,0.1,0.32319818836766057,0.647942125361286,0.4988071861934405,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
7,3.0,0.1,0.608373746978793,0.36814102495890827,1.652556237237345,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
7,4.0,0.1,0.7292973406971014,0.25975658259325163,2.8076183225704643,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
7,5.0,0.1,0.7697203129933016,0.22598805759663,3.406022075587679,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
