p_transport,modular_cost,best_global_strategy,best_global_fitness,best_modular_strategy,best_modular_fitness,winner,modular_gain
0.0,0.165,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.5137101733627087,global,0.756891812623792
0.0,0.17,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.5087101733627087,global,0.749524897854816
0.0,0.175,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.5037101733627087,global,0.74215798308584
0.0,0.18,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.4987101733627088,global,0.734791068316864
0.0,0.185,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.4937101733627088,global,0.727424153547888
0.0,0.19,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.4887101733627088,global,0.720057238778912
0.0,0.195,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.4837101733627088,global,0.712690324009936
0.0,0.2,G(0.01),0.6787101733627088,"M(0.01,0.01)",0.47871017336270877,global,0.70532340924096
0.05,0.0,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.6945091753616739,modular,1.0620702689759793
0.05,0.005,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.6895091753616739,modular,1.0544240757602965
0.05,0.01,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.6845091753616739,modular,1.0467778825446137
0.05,0.015,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.6795091753616739,modular,1.0391316893289309
0.05,0.02,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.6745091753616739,modular,1.031485496113248
0.05,0.025,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.6695091753616739,modular,1.0238393028975652
0.05,0.03,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.6645091753616739,modular,1.0161931096818824
0.05,0.035,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.6595091753616739,modular,1.0085469164661995
0.05,0.04,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.6545091753616739,modular,1.0009007232505167
0.05,0.045,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.6495091753616739,global,0.9932545300348339
0.05,0.05,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.6445091753616738,global,0.985608336819151
0.05,0.055,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.6395091753616738,global,0.9779621436034682
0.05,0.06,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.6345091753616738,global,0.9703159503877854
0.05,0.065,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.629509175361674,global,0.9626697571721028
0.05,0.07,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.6245091753616738,global,0.9550235639564197
0.05,0.075,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.6195091753616739,global,0.9473773707407371
0.05,0.08,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.6145091753616739,global,0.9397311775250543
0.05,0.085,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.6095091753616739,global,0.9320849843093715
0.05,0.09,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.6045091753616739,global,0.9244387910936886
0.05,0.095,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.5995091753616739,global,0.9167925978780058
0.05,0.1,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.5945091753616739,global,0.909146404662323
0.05,0.105,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.5895091753616739,global,0.9015002114466402
0.05,0.11,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.5845091753616739,global,0.8938540182309574
0.05,0.115,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.5795091753616739,global,0.8862078250152746
0.05,0.12,G(0.01),0.6539201742567389,"M(0.5,0.01)",0.5745091753616739,global,0.8785616317995918
