t,P_classical,P_crn_opt,P_crn_low
36.5,0.07581871340245894,0.3534802336610998,0.17491362128901067
37.0,0.07726282308546761,0.35922847749016584,0.1771537473770879
37.5,0.07870516671821515,0.36493148655853147,0.17917178158320513
38.0,0.08014570135443766,0.37058919180541505,0.18092165804108196
38.5,0.08158438829866344,0.3762015587915326,0.18262582369787306
39.0,0.08302119271761754,0.3817685849719181,0.18470615611267616
39.5,0.0844560832869431,0.38729029716396757,0.18742627312856786
40.0,0.08588903187005814,0.3927667491970658,0.19064692636337877
40.5,0.08732001322625094,0.39819801973109503,0.19398431148663065
41.0,0.08874900474536762,0.40358421023196966,0.1971192759913144
41.5,0.09017598620669287,0.40892544309313383,0.1998846699098077
42.0,0.09160093955982307,0.414221859892703,0.20220614175747176
42.5,0.09302384872554326,0.4194736197766442,0.20415760912431213
43.0,0.0944446994148862,0.4246808979590486,0.2060446903029265
43.5,0.09586347896472514,0.4298438843311958,0.2082406369721711
44.0,0.09728017618838969,0.4349627821716797,0.21084066578488803
44.5,0.0986947812399438,0.44003780695042827,0.2135634930814717
45.0,0.10010728549087511,0.44506918521994265,0.21603808521040457
45.5,0.10151768141806561,0.4500571535875587,0.21809192799500698
46.0,0.10292596250201647,0.45500195776296504,0.21974373627222932
46.5,0.10433212313438711,0.4599038516756163,0.22107230274196554
47.0,0.10573615853400042,0.46476309665706206,0.22219077105966456
47.5,0.10713806467053955,0.46957996068355834,0.22327419487729616
48.0,0.10853783819523433,0.4743547176746623,0.22451325302064018
48.5,0.10993547637789614,0.4790876468438101,0.22598399178017192
49.0,0.11133097704972228,0.48377903209716366,0.22758471284732584
49.5,0.11272433855134067,0.4884291614772788,0.22914604165025798
50.0,0.1141155596856177,0.49303832664838565,0.2305707592310925
50.5,0.1155046396747903,0.4976068224203075,0.23185962577505048
51.0,0.11689157812152673,0.5021349463082465,0.23304603404282975
51.5,0.11827637497355925,0.5066229981258716,0.23415332060422978
52.0,0.11965903049155824,0.5110712796093182,0.23525081762409317
52.5,0.12103954521995208,0.515480094069882,0.23652848817728356
53.0,0.12241791996042295,0.5198497460733489,0.2381963737945949
53.5,0.12379415574783359,0.5241805411440451,0.24024756418363524
54.0,0.12516825382836094,0.5284727854918352,0.2424264185432795
54.5,0.12654021563963813,0.5327267857604114,0.2444663927670736
55.0,0.12791004279271379,0.5369428487953467,0.24627261742384676
55.5,0.1292777370556708,0.5411212814304844,0.24788534723302635
56.0,0.13064330033874483,0.5452623902913449,0.24937954804887852
56.5,0.1320067346808098,0.5493664816143182,0.2508781855286707
57.0,0.13336804223710297,0.5534338610805059,0.2525918278394501
57.5,0.13472722526807623,0.5574648336631488,0.25467126808148066
58.0,0.13608428612927115,0.5614597034876615,0.2569799385131334
58.5,0.1374392272621231,0.565418773703356,0.25916072067989904
59.0,0.13879205118560944,0.5693423463660101,0.26096465503855726
59.5,0.1401427604886646,0.573230722330488,0.2624096187085716
60.0,0.14149135782328992,0.577084201152688,0.26364911630763666
60.5,0.14283784589830062,0.5809030810001319,0.26481235915055445
61.0,0.14418222747364096,0.5846876585705699,0.2659914263073131
61.5,0.14552450535522643,0.5884382290180119,0.2672815425465006
62.0,0.1468646823902574,0.5921550858856436,0.2687266270405273
62.5,0.14820276146296374,0.5958385210451218,0.27022806319173287
63.0,0.14953874549074087,0.5994888246417798,0.2716024027731946
63.5,0.15087263742064072,0.6031062850453077,0.2727562002847045
64.0,0.15220444022618518,0.6066911888055034,0.2737330159786957
64.5,0.1535341569044727,0.6102438206127182,0.27462225126472284
65.0,0.1548617904735503,0.6137644632626511,0.2754934809106503
65.5,0.1561873439700292,0.6172533976251646,0.2763930544251082
66.0,0.15751082044691767,0.6207109026168252,0.277377286442264
66.5,0.1588322229716549,0.6241372551768862,0.27852205117772966
67.0,0.1601515546243253,0.6275327302464597,0.27985709762829414
67.5,0.16146881849603767,0.6308976007506285,0.2812976742037243
68.0,0.16278401768745288,0.6342321375832853,0.282688276127382
68.5,0.16409715530744906,0.6375366095944842,0.2839264445431662
69.0,0.1654082344719079,0.6408112835801156,0.28503322010821586
69.5,0.1667172583026143,0.6440564242737273,0.28611399090067224
70.0,0.16802422992625754,0.6472722943403224,0.28726918839827276
70.5,0.16932915247352465,0.6504591543719844,0.28856989075389683
71.0,0.17063202907827713,0.6536172628851855,0.29007712520577045
71.5,0.17193286287680476,0.6567468763196442,0.2917788685790601
72.0,0.17323165700714804,0.6598482490386118,0.2935130635147519
72.5,0.17452841460848378,0.6629216333304732,0.29505590224081757
73.0,0.17582313882056722,0.6659672794115545,0.2963155158210874
73.5,0.17711583278322685,0.668985435430044,0.29739432524319587
74.0,0.17840649963590616,0.6719763474709283,0.29846817491248756
74.5,0.1796951425172466,0.6749402595618679,0.29964267800450295
75.0,0.1809817645647117,0.6778774136799259,0.30093059964914537
75.5,0.18226636891424597,0.6807880497590835,0.3023034205842351
76.0,0.18354895869996335,0.6836724056984707,0.3036952385673678
76.5,0.18482953705386884,0.6865307173712525,0.3049955830275596
77.0,0.186108107105603,0.6893632186341121,0.30610921479362696
77.5,0.1873846719822122,0.692170141337276,0.3070335001222233
78.0,0.1886592348079411,0.6949517153350324,0.3078579957093751
78.5,0.18993179870404342,0.697708168496699,0.3086874758992043
79.0,0.19120236678861136,0.7004397267179936,0.3095774546953274
79.5,0.19247094217642213,0.7031466139327694,0.31052840075267096
80.0,0.19373752797879829,0.7058290521250804,0.3115242720910768
