variant,surrogate_id,epsilon,trial,energy_seed,kappa,P_sink_T_end,P_sink_D_end,Selectivity_end,coverage_end,N_edges
rewired_type,2,3.0,0,342,1.0,0.00211597346658528,0.003403892747637116,0.621633412930679,0.005519866214222396,1609
rewired_type,2,3.0,1,1342,0.001,0.016878012609162912,0.02267819173211692,0.7442397880654649,0.039556204341279835,1609
rewired_type,2,3.0,1,1342,1.0,0.006383763722967637,0.011112386608992626,0.5744727885211576,0.017496150331960263,1609
rewired_type,2,3.0,2,2342,0.001,0.00868699559044232,0.022558093771213997,0.38509440018121366,0.031245089361656316,1609
rewired_type,2,3.0,2,2342,1.0,0.0038431873130241093,0.006913174498522068,0.5559222197110463,0.010756361811546176,1609
rewired_type,2,3.0,3,3342,0.001,0.0029327606877616167,0.00440698287045552,0.6654803917567749,0.007339743558217137,1609
rewired_type,2,3.0,3,3342,1.0,0.004139859857563158,0.0038846809667185565,1.0656885062029857,0.008024540824281714,1609
rewired_type,2,3.0,4,4342,0.001,0.005088730941983968,0.004769762454945348,1.066873033821849,0.009858493396929315,1609
rewired_type,2,3.0,4,4342,1.0,0.003025311032071325,0.005343030020164266,0.5662163641394061,0.00836834105223559,1609
rewired_type,2,5.0,0,542,0.001,0.005964377640954356,0.009368243774885132,0.636659098934563,0.015332621415839489,1609
rewired_type,2,5.0,0,542,1.0,0.0026717497381635647,0.005662560437426848,0.47182714731532654,0.008334310175590413,1609
rewired_type,2,5.0,1,1542,0.001,0.0030496587540476115,0.0018272882845620521,1.6689532670591016,0.004876947038609664,1609
rewired_type,2,5.0,1,1542,1.0,0.002688273352313841,0.0026253026858377884,1.023986059128253,0.00531357603815163,1609
rewired_type,2,5.0,2,2542,0.001,0.0015405972673426963,0.005488897485918257,0.28067517584622714,0.0070294947532609535,1609
rewired_type,2,5.0,2,2542,1.0,0.0021062642574669094,0.0024385754832952676,0.863727315816761,0.0045448397407621775,1609
rewired_type,2,5.0,3,3542,0.001,0.00043892375007106486,0.00832191517069634,0.0527431175414871,0.008760838920767405,1609
rewired_type,2,5.0,3,3542,1.0,0.0011130560463218692,0.005468337797589599,0.20354559050996265,0.006581393843911468,1609
rewired_type,2,5.0,4,4542,0.001,0.0004939042473769034,0.002478983380939186,0.19923661085236746,0.0029728876283160897,1609
rewired_type,2,5.0,4,4542,1.0,0.001221764926569144,0.0024727126889597354,0.4940990239302888,0.0036944776155288794,1609
rewired_type,3,0.0,0,42,0.001,0.023131612360167083,0.026319719388511093,0.8788700220483913,0.049451331748678176,1618
rewired_type,3,0.0,0,42,1.0,0.013472804990003778,0.01430521091310418,0.9418109995652219,0.02777801590310796,1618
rewired_type,3,0.0,1,1042,0.001,0.023131612360167083,0.026319719388511093,0.8788700220483913,0.049451331748678176,1618
rewired_type,3,0.0,1,1042,1.0,0.013472804990003778,0.01430521091310418,0.9418109995652219,0.02777801590310796,1618
rewired_type,3,0.0,2,2042,0.001,0.023131612360167083,0.026319719388511093,0.8788700220483913,0.049451331748678176,1618
rewired_type,3,0.0,2,2042,1.0,0.013472804990003778,0.01430521091310418,0.9418109995652219,0.02777801590310796,1618
rewired_type,3,0.0,3,3042,0.001,0.023131612360167083,0.026319719388511093,0.8788700220483913,0.049451331748678176,1618
