epsilon,trial,energy_seed,kappa,P_sink_T_end,P_sink_D_end,Selectivity_end,coverage_end,PR_all_mean,PR_T_topK_mean,PR_D_topK_mean,delta_PR_TminusD,ratio_PR_T_over_D
1.0,2,2142,0.001,0.010683287820087884,0.004913214703112548,2.1743987314752524,0.015596502523200433,7.491620753017282,4.284720894729616,4.535951458873538,-0.2512305641439223,0.9446134804523871
1.0,3,3142,0.001,0.00723269397183347,0.005258374604489435,1.3754619087584519,0.012491068576322904,6.617995442094722,3.1892291902940557,3.92888727992761,-0.7396580896335543,0.8117385313107831
1.0,4,4142,0.001,0.007302220607160688,0.004987486370621383,1.4641083830744999,0.012289706977782072,7.072137492851786,3.213518053845899,2.6721314400615643,0.5413866137843346,1.202604784206222
1.0,5,5142,0.001,0.005023573212372618,0.003703974798905886,1.3562654941659595,0.008727548011278504,7.29711892441537,2.3471265243279396,3.4333117594646985,-1.086185235136759,0.6836333804693255
1.0,6,6142,0.001,0.005932540985907526,0.003382831828691723,1.7537203398160521,0.009315372814599248,6.733875526187184,5.261535488009555,3.75609516094498,1.5054403270645746,1.4007993042130027
1.0,7,7142,0.001,0.00419811048612102,0.003485201045490167,1.204553318480379,0.007683311531611187,6.684935608519642,1.6834092248773391,3.7671295967799865,-2.0837203719026474,0.44686788219769763
1.0,8,8142,0.001,0.004828432158465194,0.004608258688571756,1.0477780184935535,0.009436690847036949,7.92891030471692,1.7662250650822777,3.290381088049365,-1.5241560229670874,0.5367843474110617
1.0,9,9142,0.001,0.004530837350203688,0.004888389404029952,0.9268568795975302,0.00941922675423364,6.237599085977301,1.898119103557714,4.3611188051373775,-2.4629997015796636,0.4352367335927053
2.0,0,242,0.001,0.004938233421163807,0.004174275205295205,1.1830157757007682,0.009112508626459011,4.913174437368308,4.427729016174483,5.423986914185405,-0.9962578980109216,0.8163236907144081
2.0,1,1242,0.001,0.0047524786621741776,0.0033042503147812223,1.4382925650263731,0.0080567289769554,4.037227531778455,4.591677030407775,3.776263004170274,0.8154140262375007,1.2159314712288332
2.0,2,2242,0.001,0.008514059181301105,0.003357106988787793,2.536129830595387,0.011871166170088899,3.8071633726892715,3.0457455983142174,2.664793972148782,0.38095162616543554,1.142957253036058
2.0,3,3242,0.001,0.0044251676359290965,0.001469291358526569,3.0117699986713062,0.005894458994455665,3.906584207825766,3.1250047966192063,2.960962978632175,0.1640418179870311,1.055401509296415
2.0,4,4242,0.001,0.0026223094690391506,0.007795096478077967,0.3364050048742087,0.010417405947117117,3.5773013601549852,2.8737424586039584,3.2779727904818485,-0.40423033187789015,0.8766828287740394
2.0,5,5242,0.001,0.002451726235316741,0.0018124249960764006,1.3527325209438124,0.0042641512313931415,3.486474354042954,2.734497924980354,2.524691448864882,0.20980647611547187,1.0831018286253562
2.0,6,6242,0.001,0.004209375277676639,0.0034937829900570957,1.2048187561881256,0.007703158267733734,4.027586736553289,3.0647046331546504,3.869440726010835,-0.8047360928561846,0.7920278019904391
2.0,7,7242,0.001,0.0058467274697352,0.0021557677126474236,2.7121324030977827,0.008002495182382623,4.35065406621007,2.289212649696571,3.09771000203018,-0.8084973523336094,0.7390016006005289
2.0,8,8242,0.001,0.004103539272417766,0.004259696653656213,0.963340727075541,0.008363235926073978,3.9106655147140983,2.920928649876987,3.3597942648526917,-0.43886561497570487,0.8693772355150601
2.0,9,9242,0.001,0.008451929853086279,0.003974368459122053,2.1266095325310426,0.012426298312208331,4.142248845156303,4.713010609798061,4.674102613649276,0.03890799614878482,1.008324163880178
3.0,0,342,0.001,0.006734718953666296,0.0031545047538653,2.1349528617064566,0.009889223707531595,2.9270643715711935,1.8155597955527576,3.9526104104491777,-2.1370506148964203,0.45933183567829444
3.0,1,1342,0.001,0.005200708166911467,0.0036297855760357256,1.4327866086124679,0.008830493742947193,3.0069571267179853,2.782666419464065,3.726285346344466,-0.9436189268804007,0.7467668631963188
3.0,2,2342,0.001,0.012578704797882886,0.004915731534910012,2.5588673234072954,0.0174944363327929,3.2227414254309426,5.741257553492016,5.468539604769722,0.2727179487222937,1.0498703435345749
