variant,surrogate_id,epsilon,kappa,n_trials,P_sink_T_end_mean,P_sink_D_end_mean,Selectivity_end_mean,Selectivity_end_std,coverage_end_mean
lesion_KC_MBON,3,5.0,0.001,20,0.0028440939499264585,0.0021501454039429945,1.8902976194073209,1.4655222025584198,0.004994239353869454
lesion_KC_MBON,4,0.0,0.001,20,0.014614737060485989,0.011969087286291891,1.2210402271861698,2.278129578503827e-16,0.026583824346777873
lesion_KC_MBON,4,1.0,0.001,20,0.009084567243967797,0.005922832456805373,1.7033382369206644,0.9226134470547004,0.015007399700773172
lesion_KC_MBON,4,2.0,0.001,20,0.007007721843771281,0.003967517858945655,1.9628945246484562,1.306621167784492,0.010975239702716934
lesion_KC_MBON,4,3.0,0.001,20,0.005968714619556196,0.0036874905899303154,2.1602513284311766,2.1618973292389843,0.009656205209486513
lesion_KC_MBON,4,5.0,0.001,20,0.0021990801300095526,0.0023100437212439156,1.289487549851414,0.9554066427051324,0.004509123851253469
lesion_KC_MBON,5,0.0,0.001,20,0.018652806809193442,0.011760799839736267,1.5860151572842094,2.278129578503827e-16,0.030413606648929697
lesion_KC_MBON,5,1.0,0.001,20,0.008948730677751903,0.005934507562763755,1.6040525443644325,0.6047460374443512,0.01488323824051566
lesion_KC_MBON,5,2.0,0.001,20,0.006402373456386047,0.004357553130089254,1.6903160707635319,0.847476095850769,0.010759926586475298
lesion_KC_MBON,5,3.0,0.001,20,0.006772630129355091,0.0034537252164616437,2.859636305018003,3.5143009664759237,0.010226355345816732
lesion_KC_MBON,5,5.0,0.001,20,0.0032077297975010603,0.0019520792057004417,2.3956397666881357,2.688066431531246,0.005159809003201504
lesion_KC_MBON,6,0.0,0.001,20,0.016875780008584036,0.012311633259561422,1.3707182184059374,2.278129578503827e-16,0.029187413268145463
lesion_KC_MBON,6,1.0,0.001,20,0.009016129687854098,0.00612339268496064,1.5220544633742086,0.4803983105040675,0.01513952237281474
lesion_KC_MBON,6,2.0,0.001,20,0.00596272451459497,0.004502800795614888,1.6144564643443378,1.014123622642855,0.01046552531020986
lesion_KC_MBON,6,3.0,0.001,20,0.005691170315478458,0.003174948432800282,2.273957311242812,2.503267360086889,0.00886611874827874
lesion_KC_MBON,6,5.0,0.001,20,0.00270323469647057,0.001934894843851265,1.7602868415328885,1.1495149672023828,0.004638129540321835
lesion_KC_MBON,7,0.0,0.001,20,0.01765334422841637,0.01479515793884863,1.193183898420552,2.278129578503827e-16,0.03244850216726501
lesion_KC_MBON,7,1.0,0.001,20,0.010043636524876897,0.0073278939670532615,1.5593502184320638,0.7079330919356968,0.017371530491930163
lesion_KC_MBON,7,2.0,0.001,20,0.007668031802396206,0.0049680722263516185,1.7845424171360211,0.8030269625244207,0.012636104028747827
lesion_KC_MBON,7,3.0,0.001,20,0.007212770703893046,0.003284456536305453,2.5156233590839743,1.5651632471228414,0.010497227240198501
lesion_KC_MBON,7,5.0,0.001,20,0.0028476442913978944,0.0019644818439383694,1.8999791292608461,1.336931980840995,0.004812126135336264
lesion_KC_MBON,8,0.0,0.001,20,0.01691112700665796,0.01095990401354571,1.5429995540302115,4.556259157007654e-16,0.027871031020203663
lesion_KC_MBON,8,1.0,0.001,20,0.009471728623239226,0.00697958013269667,1.4751453737763853,0.7535919705026155,0.016451308755935902
lesion_KC_MBON,8,2.0,0.001,20,0.007133355940365234,0.004738089355528913,1.8732183116676873,1.0659017942634146,0.011871445295894144
lesion_KC_MBON,8,3.0,0.001,20,0.005596399836287283,0.004074543680128329,2.027440081146131,2.0246620015541543,0.00967094351641561
lesion_KC_MBON,8,5.0,0.001,20,0.003159763599001982,0.0023770705271540593,1.9506965996144168,1.4223579955734171,0.005536834126156042
